epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.853,0.00726,0.0173,3.19375,1.23883,0.5402,0.16564,0.13257,0.09988,0.54057,0.1634,0.13026,0.08797,0.00581,0.01266,2.52661,1.06178,4.6351e-05,4.6351e-05,4.6351e-05
2,674.554,0.00691,0.01651,2.96128,1.20286,0.5027,0.18494,0.151,0.11365,0.50233,0.18088,0.14896,0.10013,0.00578,0.01252,2.42417,1.05784,9.18931e-05,9.18931e-05,9.18931e-05
3,1003.51,0.00674,0.01609,2.84718,1.18518,0.49284,0.20254,0.17443,0.13351,0.49876,0.20122,0.17309,0.11719,0.00544,0.01215,2.30325,1.02037,9.10813e-05,9.10813e-05,9.10813e-05
4,1330.62,0.00664,0.01591,2.76521,1.17561,0.50254,0.21297,0.17955,0.13781,0.50146,0.20933,0.17605,0.12185,0.00537,0.01173,2.2658,1.00946,9.01219e-05,9.01219e-05,9.01219e-05
5,1657.22,0.00656,0.01577,2.70559,1.1716,0.48964,0.22658,0.19455,0.14828,0.49184,0.22278,0.19172,0.13067,0.00544,0.01188,2.19922,1.02078,8.91625e-05,8.91625e-05,8.91625e-05
6,1986.05,0.00648,0.01567,2.64903,1.16559,0.46676,0.23884,0.206,0.1596,0.46528,0.235,0.2031,0.14025,0.00521,0.01146,2.12499,0.99552,8.82032e-05,8.82032e-05,8.82032e-05
7,2313.05,0.0064,0.0155,2.59853,1.1574,0.51999,0.23689,0.21073,0.16124,0.52394,0.23288,0.20768,0.14284,0.00526,0.0115,2.16151,0.99608,8.72438e-05,8.72438e-05,8.72438e-05
8,2641.56,0.00637,0.01547,2.56749,1.14935,0.47453,0.2339,0.21096,0.16361,0.47616,0.23317,0.20884,0.14378,0.00517,0.01145,2.13644,1.00005,8.62844e-05,8.62844e-05,8.62844e-05
9,2975.73,0.0063,0.01529,2.5449,1.15122,0.48084,0.24238,0.22721,0.1767,0.48542,0.23962,0.22512,0.15422,0.00506,0.01149,2.03139,0.98122,8.53251e-05,8.53251e-05,8.53251e-05
10,3307.58,0.00624,0.0152,2.49231,1.14284,0.4603,0.25244,0.23683,0.18533,0.4595,0.25244,0.23438,0.16212,0.00507,0.01125,2.06336,0.98502,8.43657e-05,8.43657e-05,8.43657e-05
11,3640.39,0.00623,0.01527,2.48779,1.14325,0.51116,0.26489,0.24494,0.18958,0.51954,0.2599,0.24216,0.16858,0.00509,0.011,2.01946,0.98542,8.34063e-05,8.34063e-05,8.34063e-05
12,3975.54,0.00623,0.01523,2.4606,1.14036,0.50846,0.25945,0.24314,0.18973,0.50479,0.25447,0.23881,0.16669,0.00497,0.01106,2.00811,0.97239,8.24469e-05,8.24469e-05,8.24469e-05
13,4309.7,0.00616,0.01512,2.43626,1.13272,0.44044,0.28209,0.26069,0.20348,0.4524,0.27002,0.25528,0.18088,0.00495,0.01073,1.98012,0.97132,8.14876e-05,8.14876e-05,8.14876e-05
14,4636.03,0.00605,0.01492,2.38107,1.11967,0.46046,0.28385,0.26695,0.20785,0.46871,0.27904,0.26255,0.18244,0.00494,0.01094,1.95633,0.96753,8.05282e-05,8.05282e-05,8.05282e-05
15,4964.85,0.0061,0.01493,2.38425,1.12433,0.46445,0.28364,0.26522,0.20551,0.46596,0.27623,0.26022,0.18022,0.00491,0.01101,1.9713,0.96485,7.95688e-05,7.95688e-05,7.95688e-05
16,5295.27,0.00603,0.01493,2.35775,1.12253,0.45304,0.29585,0.27141,0.21152,0.45475,0.28659,0.26575,0.18453,0.00487,0.01082,1.91787,0.95763,7.86095e-05,7.86095e-05,7.86095e-05
17,5623.86,0.00606,0.01491,2.34842,1.12088,0.48179,0.2783,0.27156,0.21234,0.48587,0.27529,0.27081,0.18685,0.00487,0.01116,1.90374,0.96291,7.76501e-05,7.76501e-05,7.76501e-05
18,5950.22,0.00596,0.0148,2.30804,1.1106,0.51854,0.28628,0.27273,0.2125,0.51926,0.28573,0.27013,0.1876,0.00485,0.01066,1.91467,0.95685,7.66907e-05,7.66907e-05,7.66907e-05
19,6278.26,0.00599,0.01482,2.31943,1.11405,0.48655,0.29551,0.28243,0.22078,0.49045,0.28861,0.27899,0.19328,0.00482,0.01086,1.87343,0.95067,7.57314e-05,7.57314e-05,7.57314e-05
20,6606.22,0.006,0.0149,2.30507,1.11372,0.48591,0.27931,0.27793,0.21722,0.48161,0.2778,0.27575,0.19125,0.00489,0.01082,1.90138,0.96448,7.4772e-05,7.4772e-05,7.4772e-05
21,6937.49,0.00592,0.01475,2.28186,1.11307,0.47259,0.29413,0.28829,0.22771,0.47108,0.29211,0.28589,0.19868,0.00479,0.01093,1.86519,0.95047,7.38126e-05,7.38126e-05,7.38126e-05
22,7266.58,0.00594,0.01467,2.27413,1.11084,0.4597,0.30838,0.29106,0.22647,0.45882,0.30791,0.28833,0.19914,0.00486,0.01078,1.88331,0.96287,7.28533e-05,7.28533e-05,7.28533e-05
23,7596.68,0.00594,0.0148,2.26657,1.10724,0.48045,0.29133,0.28927,0.22686,0.47912,0.28889,0.28743,0.19842,0.00481,0.01087,1.86427,0.95011,7.18939e-05,7.18939e-05,7.18939e-05
24,7923.75,0.00588,0.0147,2.24552,1.10383,0.48769,0.2947,0.2881,0.22649,0.4932,0.2878,0.28415,0.19872,0.00474,0.01071,1.84275,0.94564,7.09345e-05,7.09345e-05,7.09345e-05
25,8247.71,0.00589,0.01466,2.24114,1.10329,0.47509,0.29022,0.29457,0.23063,0.46978,0.29304,0.29156,0.20367,0.00474,0.01041,1.8456,0.94277,6.99752e-05,6.99752e-05,6.99752e-05
26,8578.41,0.00584,0.01461,2.20996,1.09551,0.46047,0.31223,0.29899,0.23489,0.46031,0.30939,0.29397,0.20615,0.00478,0.0106,1.86321,0.95032,6.90158e-05,6.90158e-05,6.90158e-05
27,8900.27,0.00587,0.01459,2.2104,1.09645,0.47867,0.30761,0.30117,0.23602,0.476,0.29983,0.2956,0.20529,0.00474,0.01063,1.83399,0.94897,6.80564e-05,6.80564e-05,6.80564e-05
28,9230.91,0.00583,0.01457,2.2103,1.10192,0.48161,0.30169,0.30184,0.23863,0.48371,0.30019,0.29848,0.20927,0.00475,0.01062,1.83157,0.94282,6.70971e-05,6.70971e-05,6.70971e-05
29,9559.22,0.00582,0.01453,2.19735,1.09825,0.46197,0.30742,0.30099,0.23688,0.46504,0.30396,0.29781,0.20887,0.00474,0.01048,1.83002,0.94491,6.61377e-05,6.61377e-05,6.61377e-05
30,9886.11,0.00581,0.01455,2.18444,1.09563,0.45107,0.32623,0.30238,0.23918,0.45168,0.32155,0.29922,0.20724,0.00473,0.0107,1.81947,0.93968,6.51783e-05,6.51783e-05,6.51783e-05
31,10212.1,0.00583,0.0146,2.18784,1.09541,0.4339,0.3238,0.30144,0.23796,0.43504,0.3183,0.29794,0.20808,0.00469,0.01057,1.82504,0.93718,6.42189e-05,6.42189e-05,6.42189e-05
32,10533.5,0.00581,0.01457,2.15818,1.08769,0.492,0.30293,0.3067,0.24363,0.49507,0.29709,0.30347,0.21299,0.00468,0.01046,1.79978,0.93488,6.32596e-05,6.32596e-05,6.32596e-05
33,10857,0.0058,0.01448,2.15547,1.08669,0.43805,0.31539,0.3046,0.24208,0.43542,0.31047,0.29955,0.21092,0.00466,0.01054,1.8121,0.93564,6.23002e-05,6.23002e-05,6.23002e-05
34,11179.7,0.00575,0.01443,2.14365,1.08566,0.44132,0.33013,0.30943,0.24561,0.4379,0.32656,0.30404,0.21363,0.00469,0.01055,1.80652,0.93806,6.13408e-05,6.13408e-05,6.13408e-05
35,11505,0.00578,0.01447,2.14518,1.08785,0.47859,0.32287,0.30819,0.24476,0.47591,0.32049,0.30514,0.21486,0.00471,0.01043,1.79643,0.941,6.03815e-05,6.03815e-05,6.03815e-05
36,11833.4,0.00576,0.01448,2.14696,1.08942,0.46375,0.32134,0.30731,0.2434,0.46386,0.31881,0.30358,0.21214,0.00465,0.01058,1.80623,0.93624,5.94221e-05,5.94221e-05,5.94221e-05
37,12160.6,0.00569,0.01434,2.11496,1.08319,0.49433,0.31335,0.31708,0.25319,0.50315,0.31036,0.31398,0.21947,0.0046,0.01062,1.78793,0.92951,5.84627e-05,5.84627e-05,5.84627e-05
38,12486.3,0.00572,0.01441,2.11531,1.08471,0.47829,0.32501,0.31696,0.25037,0.47147,0.32139,0.31241,0.21959,0.00463,0.01037,1.78804,0.93417,5.75034e-05,5.75034e-05,5.75034e-05
39,12810.8,0.00573,0.01444,2.10561,1.08327,0.48392,0.32114,0.31429,0.24931,0.48097,0.31752,0.30967,0.21663,0.00465,0.0106,1.79174,0.93616,5.6544e-05,5.6544e-05,5.6544e-05
40,13135.8,0.00572,0.01434,2.1,1.08143,0.47442,0.34095,0.31754,0.25056,0.47517,0.3329,0.31528,0.21782,0.00463,0.01042,1.78253,0.93236,5.55846e-05,5.55846e-05,5.55846e-05
41,13463.5,0.00568,0.01439,2.08645,1.08034,0.44403,0.32942,0.31471,0.24915,0.44093,0.32552,0.31007,0.21799,0.0046,0.01034,1.76708,0.92796,5.46253e-05,5.46253e-05,5.46253e-05
42,13788.1,0.00574,0.01446,2.09839,1.08132,0.48375,0.32627,0.32204,0.25477,0.45888,0.33585,0.31784,0.22382,0.00459,0.01029,1.76444,0.92735,5.36659e-05,5.36659e-05,5.36659e-05
43,14115.7,0.00566,0.01431,2.08173,1.08134,0.46127,0.3218,0.32083,0.25582,0.47886,0.3158,0.31701,0.22186,0.00455,0.01046,1.76539,0.92293,5.27065e-05,5.27065e-05,5.27065e-05
44,14443.2,0.00562,0.01423,2.06249,1.07504,0.49702,0.33422,0.32263,0.25718,0.50215,0.3329,0.31944,0.22291,0.00455,0.01039,1.75122,0.92152,5.17472e-05,5.17472e-05,5.17472e-05
45,14769.2,0.00562,0.01425,2.05301,1.07614,0.47665,0.33168,0.32097,0.25446,0.47563,0.32904,0.3175,0.22222,0.0046,0.01035,1.77022,0.93043,5.07878e-05,5.07878e-05,5.07878e-05
46,15094.7,0.00563,0.01427,2.06141,1.07572,0.47011,0.336,0.32212,0.25759,0.46079,0.33611,0.31963,0.22274,0.00463,0.01041,1.77807,0.93417,4.98284e-05,4.98284e-05,4.98284e-05
47,15420.5,0.0056,0.01424,2.05024,1.07371,0.4256,0.33993,0.32241,0.25692,0.4533,0.32288,0.32014,0.22375,0.00458,0.01033,1.7487,0.92422,4.88691e-05,4.88691e-05,4.88691e-05
48,15745.3,0.00563,0.01424,2.04859,1.07534,0.44516,0.33905,0.32262,0.25365,0.45975,0.33047,0.31799,0.22075,0.00456,0.01054,1.74961,0.92201,4.79097e-05,4.79097e-05,4.79097e-05
49,16067.5,0.00565,0.01435,2.04768,1.07094,0.44975,0.33692,0.32443,0.25723,0.44828,0.33348,0.32122,0.22318,0.00458,0.01045,1.76243,0.92661,4.69503e-05,4.69503e-05,4.69503e-05
50,16390,0.00565,0.01424,2.04317,1.07119,0.47386,0.33176,0.32276,0.25545,0.47509,0.33238,0.31873,0.22272,0.00456,0.01036,1.76379,0.92335,4.59909e-05,4.59909e-05,4.59909e-05
51,16716.1,0.00566,0.01434,2.04216,1.07645,0.47814,0.33012,0.32621,0.25734,0.48248,0.32171,0.3221,0.22426,0.00454,0.01045,1.74817,0.92128,4.50316e-05,4.50316e-05,4.50316e-05
52,17035.2,0.00555,0.01407,2.00212,1.06213,0.45137,0.33547,0.32762,0.26131,0.45974,0.32305,0.32475,0.22599,0.00453,0.0104,1.7492,0.92473,4.40722e-05,4.40722e-05,4.40722e-05
53,17357.5,0.00561,0.01419,2.0111,1.06798,0.45658,0.32867,0.31928,0.25404,0.45384,0.32693,0.31591,0.21994,0.00455,0.0105,1.75426,0.92364,4.31128e-05,4.31128e-05,4.31128e-05
54,17682,0.00561,0.01426,2.01217,1.06528,0.46089,0.33513,0.32168,0.25592,0.46282,0.3314,0.3182,0.22188,0.00454,0.01054,1.7602,0.92229,4.21535e-05,4.21535e-05,4.21535e-05
55,18009.4,0.00554,0.0141,2.00142,1.06496,0.44676,0.34303,0.32851,0.26296,0.44804,0.3424,0.32586,0.2281,0.00451,0.01031,1.73001,0.91683,4.11941e-05,4.11941e-05,4.11941e-05
56,18335.1,0.00559,0.01418,2.00567,1.06865,0.47949,0.32811,0.3266,0.26015,0.46386,0.33004,0.32332,0.22608,0.00451,0.01029,1.73708,0.91836,4.02347e-05,4.02347e-05,4.02347e-05
57,18656.7,0.00559,0.01419,1.99502,1.06669,0.46681,0.32688,0.32941,0.26186,0.47784,0.31476,0.32408,0.22772,0.00454,0.01032,1.73592,0.92104,3.92754e-05,3.92754e-05,3.92754e-05
58,18981.7,0.00557,0.01416,1.98504,1.06401,0.48437,0.3381,0.32946,0.26262,0.48105,0.33652,0.32564,0.22877,0.00451,0.01023,1.7214,0.91871,3.8316e-05,3.8316e-05,3.8316e-05
59,19304.3,0.00556,0.01416,1.98523,1.06152,0.48737,0.33281,0.33296,0.2676,0.48575,0.33006,0.33065,0.23151,0.0045,0.01041,1.74052,0.91759,3.73566e-05,3.73566e-05,3.73566e-05
60,19628.8,0.00556,0.01419,1.98994,1.06471,0.46853,0.34409,0.33319,0.2662,0.46642,0.34152,0.32993,0.23092,0.00452,0.01029,1.7269,0.91877,3.63973e-05,3.63973e-05,3.63973e-05
61,19951.3,0.00553,0.01398,1.95986,1.0559,0.50741,0.32953,0.33287,0.26519,0.51159,0.32771,0.32958,0.23033,0.0045,0.01037,1.7283,0.9191,3.54379e-05,3.54379e-05,3.54379e-05
62,20276,0.00553,0.01408,1.96749,1.05949,0.4448,0.35992,0.32597,0.26089,0.44677,0.35531,0.32301,0.22647,0.0045,0.01035,1.73546,0.92051,3.44785e-05,3.44785e-05,3.44785e-05
63,20602.2,0.00551,0.01408,1.9593,1.05931,0.4901,0.33199,0.32844,0.26214,0.49194,0.32731,0.32437,0.22693,0.0045,0.01043,1.73321,0.91719,3.35192e-05,3.35192e-05,3.35192e-05
64,20922.8,0.00552,0.01404,1.94987,1.05743,0.46937,0.34867,0.33034,0.265,0.47685,0.34445,0.32678,0.22953,0.00447,0.01032,1.71784,0.91457,3.25598e-05,3.25598e-05,3.25598e-05
65,21246.5,0.00554,0.01414,1.95045,1.05625,0.4856,0.34011,0.33227,0.26603,0.48777,0.33595,0.32875,0.23001,0.00448,0.01026,1.73131,0.91666,3.16004e-05,3.16004e-05,3.16004e-05
66,21572.7,0.00552,0.01411,1.9526,1.05707,0.46431,0.34737,0.33036,0.26304,0.47956,0.33053,0.32519,0.22625,0.00451,0.01042,1.73365,0.91537,3.06411e-05,3.06411e-05,3.06411e-05
67,21899.9,0.00547,0.01403,1.93526,1.05521,0.45952,0.34509,0.32911,0.26375,0.48262,0.33344,0.32663,0.22801,0.00449,0.01025,1.72919,0.91487,2.96817e-05,2.96817e-05,2.96817e-05
68,22225,0.00555,0.01418,1.95195,1.06081,0.47471,0.3488,0.33214,0.26599,0.47769,0.3435,0.32764,0.22845,0.00449,0.01032,1.71834,0.91178,2.87223e-05,2.87223e-05,2.87223e-05
69,22547.4,0.00552,0.01407,1.94115,1.0558,0.48324,0.34136,0.33227,0.267,0.4832,0.34112,0.32813,0.23102,0.00448,0.01032,1.72632,0.91409,2.77629e-05,2.77629e-05,2.77629e-05
70,22874.5,0.00547,0.01392,1.924,1.05296,0.46099,0.35126,0.33263,0.26812,0.46966,0.34101,0.33006,0.23157,0.00447,0.01031,1.72103,0.91199,2.68036e-05,2.68036e-05,2.68036e-05
71,23199.4,0.00546,0.0139,1.90778,1.05194,0.48035,0.33309,0.33606,0.27014,0.48421,0.33037,0.33261,0.23346,0.00447,0.01042,1.72372,0.91106,2.58442e-05,2.58442e-05,2.58442e-05
72,23520.8,0.00549,0.0141,1.93194,1.05605,0.46997,0.34259,0.33382,0.26844,0.46862,0.34061,0.33134,0.23273,0.00448,0.01035,1.72279,0.91476,2.48848e-05,2.48848e-05,2.48848e-05
73,23847.2,0.00544,0.01396,1.91273,1.05331,0.49192,0.32804,0.33084,0.26711,0.49194,0.32823,0.3296,0.23137,0.00444,0.01037,1.71678,0.91053,2.39255e-05,2.39255e-05,2.39255e-05
74,24170,0.00542,0.0139,1.89887,1.04986,0.4676,0.33903,0.33268,0.26666,0.46314,0.33571,0.32982,0.23204,0.00445,0.01032,1.7209,0.91179,2.29661e-05,2.29661e-05,2.29661e-05
75,24493.7,0.00541,0.01384,1.89489,1.04984,0.52039,0.32059,0.33128,0.2664,0.51791,0.31949,0.32854,0.23136,0.00444,0.01031,1.70522,0.90974,2.20067e-05,2.20067e-05,2.20067e-05
76,24823.6,0.00542,0.01391,1.90161,1.0514,0.46421,0.34027,0.32899,0.26338,0.45833,0.33714,0.32611,0.22881,0.00446,0.01029,1.72233,0.91325,2.10474e-05,2.10474e-05,2.10474e-05
77,25149.9,0.00546,0.01397,1.90481,1.05223,0.4516,0.34505,0.33086,0.26631,0.45849,0.33789,0.32774,0.23035,0.00444,0.01027,1.71375,0.90989,2.0088e-05,2.0088e-05,2.0088e-05
78,25475.7,0.00542,0.0139,1.89513,1.05032,0.47336,0.33738,0.33295,0.26831,0.47809,0.33472,0.3305,0.23222,0.00443,0.01028,1.70507,0.90866,1.91286e-05,1.91286e-05,1.91286e-05
79,25801.6,0.0054,0.01387,1.89477,1.05364,0.46724,0.34652,0.33561,0.27029,0.47305,0.33959,0.33329,0.2333,0.00444,0.01026,1.71482,0.90882,1.81693e-05,1.81693e-05,1.81693e-05
80,26126.2,0.00545,0.01394,1.90461,1.05328,0.49103,0.33829,0.33761,0.27101,0.48892,0.33118,0.33389,0.23406,0.00446,0.01029,1.71835,0.91233,1.72099e-05,1.72099e-05,1.72099e-05
81,26455.9,0.00547,0.01405,1.90031,1.05384,0.48502,0.34179,0.33806,0.27233,0.48309,0.34038,0.33435,0.23521,0.00444,0.01022,1.71461,0.90997,1.62505e-05,1.62505e-05,1.62505e-05
82,26785.8,0.00545,0.014,1.90016,1.05472,0.46939,0.34548,0.33801,0.272,0.46592,0.34571,0.33419,0.23446,0.00445,0.01027,1.71804,0.9098,1.52912e-05,1.52912e-05,1.52912e-05
83,27104.7,0.00544,0.01393,1.89292,1.04909,0.4704,0.34726,0.33665,0.27162,0.47091,0.34359,0.33409,0.2357,0.00445,0.0102,1.71909,0.91147,1.43318e-05,1.43318e-05,1.43318e-05
84,27426.1,0.00539,0.01382,1.86988,1.04409,0.46414,0.34534,0.33631,0.27142,0.47264,0.34087,0.33318,0.23393,0.00443,0.0103,1.71908,0.9085,1.33724e-05,1.33724e-05,1.33724e-05
85,27750,0.00538,0.01387,1.87791,1.0475,0.4639,0.34584,0.33701,0.27187,0.46063,0.34414,0.33432,0.23476,0.00444,0.01027,1.71687,0.90851,1.24131e-05,1.24131e-05,1.24131e-05
86,27918.8,0.00436,0.01008,1.44084,0.95543,0.46896,0.33564,0.33077,0.26511,0.46899,0.33508,0.32789,0.2299,0.00445,0.0104,1.73213,0.90895,1.14537e-05,1.14537e-05,1.14537e-05
87,28086.6,0.00422,0.00949,1.30342,0.94015,0.47473,0.34093,0.33488,0.26862,0.47788,0.3355,0.33167,0.23359,0.00443,0.01032,1.71333,0.90623,1.04943e-05,1.04943e-05,1.04943e-05
88,28252.8,0.00418,0.00937,1.27708,0.93459,0.48013,0.34516,0.33833,0.27059,0.4802,0.33792,0.33327,0.23468,0.00441,0.01033,1.71357,0.90393,9.53495e-06,9.53495e-06,9.53495e-06
89,28419,0.00416,0.00929,1.25415,0.93232,0.49754,0.33855,0.33865,0.27203,0.4904,0.33689,0.33366,0.23585,0.0044,0.01023,1.70951,0.90339,8.57558e-06,8.57558e-06,8.57558e-06
90,28585,0.0041,0.00923,1.23628,0.92802,0.48217,0.34745,0.33805,0.27164,0.47462,0.34693,0.33425,0.23587,0.00439,0.01022,1.71072,0.9037,7.61621e-06,7.61621e-06,7.61621e-06
91,28745.5,0.0041,0.00919,1.21843,0.92012,0.48616,0.34388,0.33919,0.27309,0.48776,0.34128,0.33519,0.23671,0.00439,0.01022,1.71075,0.90289,6.65684e-06,6.65684e-06,6.65684e-06
92,28915.5,0.00412,0.00921,1.22846,0.93007,0.488,0.34135,0.33893,0.27287,0.48796,0.33924,0.33543,0.23676,0.0044,0.0102,1.71425,0.90313,5.69747e-06,5.69747e-06,5.69747e-06
93,29084.2,0.00409,0.00915,1.21403,0.92623,0.4787,0.34484,0.33972,0.27372,0.47216,0.34453,0.33644,0.23806,0.00439,0.01019,1.71432,0.90261,4.73811e-06,4.73811e-06,4.73811e-06
94,29255.5,0.0041,0.00917,1.21155,0.92919,0.47879,0.34506,0.34122,0.27485,0.48208,0.34208,0.33824,0.23982,0.00438,0.01014,1.71442,0.90103,3.77874e-06,3.77874e-06,3.77874e-06
95,29418.9,0.00407,0.0091,1.19286,0.92237,0.47906,0.34653,0.33915,0.27341,0.47822,0.34299,0.33586,0.23802,0.00438,0.01015,1.71326,0.90066,2.81937e-06,2.81937e-06,2.81937e-06
